state_id,state_name,district_id,district_name,year,total_area_ha,net_sown_ha,current_fallow_ha,forest_ha,urban_builtup_ha,govt_land_bank_ha,water_bodies_ha,disputed_ha,cadastral_vector_pct,dispute_index
andhra_pradesh,Andhra Pradesh,all,Andhra Pradesh,2005-06,16296800,9126208,2444520,2966017,977808,1303744,782246,488904,16.4,100.0
andhra_pradesh,Andhra Pradesh,all,Andhra Pradesh,2014-15,16296800,9370660,1955616,2966017,1173369,1320040,782246,391123,58.2,74.5
andhra_pradesh,Andhra Pradesh,all,Andhra Pradesh,2023-24,16296800,9550924,1466712,2966017,1385228,1320040,782246,293342,88.4,54.2
andhra_pradesh,Andhra Pradesh,amaravati,Amaravati,2005-06,21723,18247,1303,434,869,977,1303,326,12.0,100.0
andhra_pradesh,Andhra Pradesh,amaravati,Amaravati,2014-15,21723,14120,869,434,1738,3910,1303,326,62.5,72.4
andhra_pradesh,Andhra Pradesh,amaravati,Amaravati,2023-24,21723,9232,434,434,3910,6843,1347,391,94.6,46.2
andhra_pradesh,Andhra Pradesh,visakhapatnam,Visakhapatnam,2005-06,544000,244800,43520,108800,108800,27200,32640,10880,18.5,100.0
andhra_pradesh,Andhra Pradesh,visakhapatnam,Visakhapatnam,2014-15,544000,228480,32640,108800,130560,27200,32640,8160,64.2,71.0
andhra_pradesh,Andhra Pradesh,visakhapatnam,Visakhapatnam,2023-24,544000,217600,27200,108800,152320,27200,32640,5440,91.2,52.4
andhra_pradesh,Andhra Pradesh,vijayawada,Vijayawada,2005-06,331600,198960,33160,36476,56372,13264,19896,6632,17.2,100.0
andhra_pradesh,Andhra Pradesh,vijayawada,Vijayawada,2014-15,331600,192328,26528,36476,66320,13264,19896,4974,59.4,75.2
andhra_pradesh,Andhra Pradesh,vijayawada,Vijayawada,2023-24,331600,182380,19896,36476,76268,13264,19896,3316,89.5,55.8
maharashtra,Maharashtra,amravati,Amravati,2005-06,1221000,732600,97680,341880,61050,61050,36630,24420,14.8,100.0
maharashtra,Maharashtra,amravati,Amravati,2014-15,1221000,708180,85470,341880,73260,61050,36630,18315,52.0,78.4
maharashtra,Maharashtra,amravati,Amravati,2023-24,1221000,683760,73260,341880,85470,61050,36630,12210,82.4,61.5


